City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
379,ahipara,0,NZ,1574783154,100,-35.17,173.16,55.0,5.99
380,pucallpa,89,PE,1574783057,45,-8.38,-74.54,91.63,4.76
381,wuda,0,CN,1574783154,27,39.5,106.72,25.86,3.36
382,bose,100,IT,1574783154,76,45.46,8.01,55.99,2.24
383,oktyabrskiy,90,RU,1574783155,74,55.61,37.97,30.2,8.95
384,alexandria,95,RO,1574783155,98,43.97,25.33,44.01,1.01
385,ucluelet,75,CA,1574783156,83,48.94,-125.55,35.01,5.82
386,praia,40,BR,1574783156,54,-20.25,-43.81,80.6,8.05
387,saskylakh,98,RU,1574783156,96,71.97,114.09,-9.04,6.22
388,cidreira,52,BR,1574783157,75,-30.17,-50.22,70.9,26.71
389,tibati,0,CM,1574783157,19,6.47,12.63,92.21,5.75
390,port-gentil,75,GA,1574783157,83,-0.72,8.78,82.4,13.87
391,berdigestyakh,100,RU,1574783157,97,62.1,126.7,-19.35,5.39
392,inuvik,20,CA,1574783158,84,68.36,-133.71,3.2,4.7
393,phuket,20,TH,1574783158,69,7.89,98.4,82.4,4.7
394,shihezi,0,CN,1574783158,74,44.3,86.03,18.46,1.19
395,chulman,100,RU,1574783158,99,56.84,124.9,-19.61,0.45
396,horta,40,BR,1574783158,55,-10.93,-37.66,86.0,12.75
397,kieta,0,PG,1574783158,79,-6.22,155.63,78.31,7.49
398,hobyo,100,SO,1574783159,71,5.35,48.53,80.15,15.64
399,pemba,75,MZ,1574783159,88,-12.97,40.52,82.4,9.17
400,bratsk,84,RU,1574783159,84,56.15,101.63,1.4,4.47
401,woodward,1,US,1574783159,93,36.43,-99.39,42.8,13.11
402,port-cartier,20,CA,1574783159,79,50.03,-66.88,34.0,10.29
403,shubarshi,0,KZ,1574783159,84,48.59,57.19,16.83,2.3
404,silvia,3,CO,1574783160,58,2.61,-76.38,69.85,2.04
405,ballitoville,20,ZA,1574783160,65,-29.54,31.21,77.0,6.93
406,vallenar,0,CL,1574782884,32,-28.58,-70.76,75.94,9.95
407,celestun,0,MX,1574783160,75,20.87,-90.4,76.77,15.41
408,bennington,1,US,1574783161,70,42.88,-73.2,48.99,7.87
409,vao,100,EE,1574783161,85,59.1,26.19,25.5,5.5
410,shiraz,20,IR,1574783161,54,29.61,52.54,53.6,4.7
411,sopo,0,ID,1574783161,85,-9.81,124.46,74.19,4.74
412,samana,75,EC,1574783162,94,0.12,-76.97,77.0,4.7
413,namatanai,70,PG,1574783162,68,-3.66,152.44,81.46,11.1
414,acari,83,BR,1574783162,30,-6.44,-36.64,94.8,13.69
415,ukiah,90,US,1574783162,80,39.15,-123.21,43.0,3.02
416,hunchun,0,CN,1574783162,72,42.86,130.36,22.84,4.54
417,billings,20,US,1574783163,92,45.79,-108.5,21.99,0.63
418,zabid,49,YE,1574783163,82,14.2,44.5,61.03,4.47
419,burnie,37,AU,1574783163,75,-41.05,145.91,45.0,1.99
420,goundam,0,ML,1574783163,9,16.42,-3.66,95.49,10.38
421,fort nelson,90,CA,1574783163,85,58.81,-122.69,14.0,3.36
422,jalu,0,LY,1574783164,18,29.03,21.55,68.43,11.99
423,hareid,75,NO,1574783164,93,62.37,6.02,42.01,4.7
